Time Step,Time Stamp,Electric Load (kW),PV power (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW)
1,2017-01-01 00:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
2,2017-01-01 01:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
3,2017-01-01 02:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
4,2017-01-01 03:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.5,
5,2017-01-01 04:00:00,5.4,0,1.1,0,,4.3,0,,0,0,,,0.5,
6,2017-01-01 05:00:00,5.5,0,0,0,,5.5,0,,0,0,,,0.4,
7,2017-01-01 06:00:00,5.5,0,0,0,,5.5,0,,0,0,,,0.3,
8,2017-01-01 07:00:00,2.4,0,0,0,,2.4,0,,0,0,,,0.3,
9,2017-01-01 08:00:00,6.5,9.7,0,6.5,,0,3.2,,0,0,,,0.4,
10,2017-01-01 09:00:00,6.5,12.8,0,6.5,,0,6.3,,0,0,,,0.4,
11,2017-01-01 10:00:00,14.1,22.4,0,14.1,,0,8.3,,0,0,,,0.5,
12,2017-01-01 11:00:00,14.1,39,0,14.1,,0,15.7,,0,9.2,,,0.6,
13,2017-01-01 12:00:00,19.1,39.8,0,19.1,,0,15.7,,0,5,,,0.8,
14,2017-01-01 13:00:00,19.1,36.7,0,19.1,,0,15.7,,0,1.9,,,0.9,
15,2017-01-01 14:00:00,19.1,29.4,0,19.1,,0,10.3,,0,0,,,1,
16,2017-01-01 15:00:00,19.1,18.4,0.7,18.4,,0,0,,0,0,,,1,
17,2017-01-01 16:00:00,19.1,5.3,13.8,5.3,,0,0,,0,0,,,1,
18,2017-01-01 17:00:00,17.9,0,17.9,0,,0,0,,0,0,,,1,
19,2017-01-01 18:00:00,12.8,0,12.8,0,,0,0,,0,0,,,1,
20,2017-01-01 19:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
21,2017-01-01 20:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
22,2017-01-01 21:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
23,2017-01-01 22:00:00,5.3,0,5.3,0,,0,0,,0,0,,,1,
24,2017-01-01 23:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,
25,2017-01-02 00:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
26,2017-01-02 01:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,
27,2017-01-02 02:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
28,2017-01-02 03:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,
29,2017-01-02 04:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
30,2017-01-02 05:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
31,2017-01-02 06:00:00,8.9,0,6.3,0,,2.7,0,,0,0,,,1,
32,2017-01-02 07:00:00,9.7,0,0,0,,9.7,0,,0,0,,,0.9,
33,2017-01-02 08:00:00,16.6,9.5,0,9.5,,7.1,0,,0,0,,,0.8,
34,2017-01-02 09:00:00,26.2,22.7,0,22.7,,3.5,0,,0,0,,,0.8,
35,2017-01-02 10:00:00,26.2,23.3,0,23.3,,2.8,0,,0,0,,,0.7,
36,2017-01-02 11:00:00,26.2,29.3,0,26.2,,0,3.1,,0,0,,,0.8,
37,2017-01-02 12:00:00,26.2,39.2,0,26.2,,0,13,,0,0,,,0.9,
38,2017-01-02 13:00:00,26.2,36,0,26.2,,0,9.8,,0,0,,,1,
39,2017-01-02 14:00:00,26.2,29.1,0,26.2,,0,2.9,,0,0,,,1,
40,2017-01-02 15:00:00,26.2,18.1,8.1,18.1,,0,0,,0,0,,,1,
41,2017-01-02 16:00:00,26.2,5.1,21,5.1,,0,0,,0,0,,,1,
42,2017-01-02 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
43,2017-01-02 18:00:00,22.9,0,21.8,0,,1.1,0,,0,0,,,1,
44,2017-01-02 19:00:00,22.9,0,7.2,0,,15.7,0,,0,0,,,0.8,
45,2017-01-02 20:00:00,20.4,0,4.7,0,,15.7,0,,0,0,,,0.7,
46,2017-01-02 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,0.7,
47,2017-01-02 22:00:00,5.5,0,5.5,0,,0,0,,0,0,,,0.7,
48,2017-01-02 23:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.7,
49,2017-01-03 00:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.7,
50,2017-01-03 01:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.7,
51,2017-01-03 02:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.7,
52,2017-01-03 03:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.7,
53,2017-01-03 04:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.7,
54,2017-01-03 05:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.7,
55,2017-01-03 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,0.7,
56,2017-01-03 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,0.7,
57,2017-01-03 08:00:00,16.6,10.1,0,10.1,,6.5,0,,0,0,,,0.6,
58,2017-01-03 09:00:00,26.2,23.5,0,23.5,,2.6,0,,0,0,,,0.6,
59,2017-01-03 10:00:00,26.2,33.3,0,26.2,,0,7.1,,0,0,,,0.6,
60,2017-01-03 11:00:00,26.2,38.6,0,26.2,,0,12.4,,0,0,,,0.8,
61,2017-01-03 12:00:00,26.2,39.7,0,26.2,,0,13.5,,0,0,,,0.9,
62,2017-01-03 13:00:00,26.2,36.5,0,26.2,,0,10.3,,0,0,,,1,
63,2017-01-03 14:00:00,26.2,29.4,0,26.2,,0,3.2,,0,0,,,1,
64,2017-01-03 15:00:00,26.2,18.4,7.7,18.4,,0,0,,0,0,,,1,
65,2017-01-03 16:00:00,26.2,2.5,23.6,2.5,,0,0,,0,0,,,1,
66,2017-01-03 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
67,2017-01-03 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
68,2017-01-03 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
69,2017-01-03 20:00:00,20.4,0,20.4,0,,0,0,,0,0,,,1,
70,2017-01-03 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,1,
71,2017-01-03 22:00:00,5.9,0,5.9,0,,0,0,,0,0,,,1,
72,2017-01-03 23:00:00,6.2,0,6.2,0,,0,0,,0,0,,,1,
73,2017-01-04 00:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
74,2017-01-04 01:00:00,6.5,0,6.5,0,,0,0,,0,0,,,1,
75,2017-01-04 02:00:00,6.5,0,6.5,0,,0,0,,0,0,,,1,
76,2017-01-04 03:00:00,6.6,0,6.6,0,,0,0,,0,0,,,1,
77,2017-01-04 04:00:00,6.7,0,6.7,0,,0,0,,0,0,,,1,
78,2017-01-04 05:00:00,6.8,0,6.8,0,,0,0,,0,0,,,1,
79,2017-01-04 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,1,
80,2017-01-04 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,1,
81,2017-01-04 08:00:00,16.6,3.5,4.8,3.5,,8.3,0,,0,0,,,0.9,
82,2017-01-04 09:00:00,26.2,18,0,18,,8.2,0,,0,0,,,0.8,
83,2017-01-04 10:00:00,26.2,32.7,0,26.2,,0,6.5,,0,0,,,0.9,
84,2017-01-04 11:00:00,26.2,29.8,0,26.2,,0,3.6,,0,0,,,0.9,
85,2017-01-04 12:00:00,26.2,30.3,0,26.2,,0,4.1,,0,0,,,1,
86,2017-01-04 13:00:00,26.2,27.3,0,26.2,,0,1.1,,0,0,,,1,
87,2017-01-04 14:00:00,26.2,29.1,0,26.2,,0,2.9,,0,0,,,1,
88,2017-01-04 15:00:00,26.2,17.8,8.3,17.8,,0,0,,0,0,,,1,
89,2017-01-04 16:00:00,26.2,4.7,21.4,4.7,,0,0,,0,0,,,1,
90,2017-01-04 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
91,2017-01-04 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
92,2017-01-04 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
93,2017-01-04 20:00:00,20.4,0,10.4,0,,10,0,,0,0,,,0.9,
94,2017-01-04 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,0.9,
95,2017-01-04 22:00:00,5.5,0,5.5,0,,0,0,,0,0,,,0.9,
96,2017-01-04 23:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.9,
97,2017-01-05 00:00:00,5.8,0,5.8,0,,0,0,,0,0,,,0.9,
98,2017-01-05 01:00:00,5.8,0,5.8,0,,0,0,,0,0,,,0.9,
99,2017-01-05 02:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
100,2017-01-05 03:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
101,2017-01-05 04:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
102,2017-01-05 05:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
103,2017-01-05 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,0.9,
104,2017-01-05 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,0.9,
105,2017-01-05 08:00:00,16.6,9.4,0,9.4,,7.2,0,,0,0,,,0.8,
106,2017-01-05 09:00:00,26.2,22.9,0,22.9,,3.3,0,,0,0,,,0.8,
107,2017-01-05 10:00:00,26.2,33,0,26.2,,0,6.8,,0,0,,,0.9,
108,2017-01-05 11:00:00,26.2,38.4,0,26.2,,0,12.2,,0,0,,,1,
109,2017-01-05 12:00:00,26.2,30,0,26.2,,0,3.8,,0,0,,,1,
110,2017-01-05 13:00:00,26.2,23.2,3,23.2,,0,0,,0,0,,,1,
111,2017-01-05 14:00:00,26.2,15.1,11,15.1,,0,0,,0,0,,,1,
112,2017-01-05 15:00:00,26.2,3.5,22.6,3.5,,0,0,,0,0,,,1,
113,2017-01-05 16:00:00,26.2,5.7,20.5,5.7,,0,0,,0,0,,,1,
114,2017-01-05 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
115,2017-01-05 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
116,2017-01-05 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
117,2017-01-05 20:00:00,20.4,0,16.4,0,,4,0,,0,0,,,1,
118,2017-01-05 21:00:00,9.3,0,9.3,0,,0,0,,0,0,,,1,
119,2017-01-05 22:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,
120,2017-01-05 23:00:00,5.5,0,5.5,0,,0,0,,0,0,,,1,
121,2017-01-06 00:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,
122,2017-01-06 01:00:00,5.5,0,5.5,0,,0,0,,0,0,,,1,
123,2017-01-06 02:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
124,2017-01-06 03:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
125,2017-01-06 04:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
126,2017-01-06 05:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
127,2017-01-06 06:00:00,8.8,0,8.8,0,,0,0,,0,0,,,1,
128,2017-01-06 07:00:00,7.8,0,7.8,0,,0,0,,0,0,,,1,
129,2017-01-06 08:00:00,11.6,9.3,0,9.3,,2.3,0,,0,0,,,0.9,
130,2017-01-06 09:00:00,19.1,13.5,0,13.5,,5.6,0,,0,0,,,0.9,
131,2017-01-06 10:00:00,26.2,25.9,0,25.9,,0.2,0,,0,0,,,0.9,
132,2017-01-06 11:00:00,26.2,38.7,0,26.2,,0,12.5,,0,0,,,1,
133,2017-01-06 12:00:00,26.2,27.1,0,26.2,,0,0.9,,0,0,,,1,
134,2017-01-06 13:00:00,26.2,22.8,0,22.8,,3.3,0,,0,0,,,1,
135,2017-01-06 14:00:00,26.2,30.2,0,26.2,,0,4,,0,0,,,1,
136,2017-01-06 15:00:00,26.2,4.5,19.7,4.5,,2,0,,0,0,,,1,
137,2017-01-06 16:00:00,26.2,2.4,8.1,2.4,,15.7,0,,0,0,,,0.8,
138,2017-01-06 17:00:00,30,0,14.2,0,,15.7,0,,0,0,,,0.7,
139,2017-01-06 18:00:00,20.4,0,4.7,0,,15.7,0,,0,0,,,0.5,
140,2017-01-06 19:00:00,15.4,0,0,0,,15.4,0,,0,0,,,0.4,
141,2017-01-06 20:00:00,15.4,0,0,0,,15.4,0,,0,0,,,0.2,
142,2017-01-06 21:00:00,10.3,0,10.3,0,,0,0,,0,0,,,0.2,
143,2017-01-06 22:00:00,5.3,0,5.3,0,,0,0,,0,0,,,0.2,
144,2017-01-06 23:00:00,5.3,0,5.3,0,,0,0,,0,0,,,0.2,
145,2017-01-07 00:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.2,
146,2017-01-07 01:00:00,5.5,0,5.5,0,,0,0,,0,0,,,0.2,
147,2017-01-07 02:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.2,
148,2017-01-07 03:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.2,
149,2017-01-07 04:00:00,5.8,0,5.8,0,,0,0,,0,0,,,0.2,
150,2017-01-07 05:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.2,
151,2017-01-07 06:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.2,
152,2017-01-07 07:00:00,3.4,0,3.4,0,,0,0,,0,0,,,0.2,
153,2017-01-07 08:00:00,6.5,9.3,0,6.5,,0,2.8,,0,0,,,0.2,
154,2017-01-07 09:00:00,6.5,22.6,0,6.5,,0,15.7,,0,0.4,,,0.4,
155,2017-01-07 10:00:00,14.1,32.9,0,14.1,,0,15.7,,0,3.1,,,0.5,
156,2017-01-07 11:00:00,14.1,38.6,0,14.1,,0,15.7,,0,8.8,,,0.6,
157,2017-01-07 12:00:00,19.1,40,0,19.1,,0,15.7,,0,5.2,,,0.8,
158,2017-01-07 13:00:00,19.1,37.2,0,19.1,,0,15.7,,0,2.4,,,0.9,
159,2017-01-07 14:00:00,19.1,30.3,0,19.1,,0,7.5,,0,3.7,,,1,
160,2017-01-07 15:00:00,19.1,19.5,0,19.1,,0,0,,0,0.4,,,1,
161,2017-01-07 16:00:00,19.1,6,13.1,6,,0,0,,0,0,,,1,
162,2017-01-07 17:00:00,17.9,0,17.9,0,,0,0,,0,0,,,1,
163,2017-01-07 18:00:00,12.8,0,12.8,0,,0,0,,0,0,,,1,
164,2017-01-07 19:00:00,5.4,0,5.4,0,,0,0,,0,0,,,1,
165,2017-01-07 20:00:00,5.7,0,5.7,0,,0,0,,0,0,,,1,
166,2017-01-07 21:00:00,5.9,0,5.9,0,,0,0,,0,0,,,1,
167,2017-01-07 22:00:00,6,0,6,0,,0,0,,0,0,,,1,
168,2017-01-07 23:00:00,6.1,0,6.1,0,,0,0,,0,0,,,1,
169,2017-01-08 00:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
170,2017-01-08 01:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
171,2017-01-08 02:00:00,6.6,0,6.6,0,,0,0,,0,0,,,1,
172,2017-01-08 03:00:00,6.6,0,6.6,0,,0,0,,0,0,,,1,
173,2017-01-08 04:00:00,6.7,0,3.8,0,,2.9,0,,0,0,,,1,
174,2017-01-08 05:00:00,6.7,0,0,0,,6.7,0,,0,0,,,0.9,
175,2017-01-08 06:00:00,8.9,0,0,0,,8.9,0,,0,0,,,0.8,
176,2017-01-08 07:00:00,10.3,0,0,0,,10.3,0,,0,0,,,0.7,
177,2017-01-08 08:00:00,16.6,9.6,0,9.6,,7,0,,0,0,,,0.6,
178,2017-01-08 09:00:00,26.2,23,0,23,,3.2,0,,0,0,,,0.6,
179,2017-01-08 10:00:00,26.2,32.9,0,26.2,,0,6.7,,0,0,,,0.7,
180,2017-01-08 11:00:00,26.2,38.5,0,26.2,,0,12.3,,0,0,,,0.8,
181,2017-01-08 12:00:00,26.2,39.8,0,26.2,,0,13.6,,0,0,,,0.9,
182,2017-01-08 13:00:00,26.2,37.1,0,26.2,,0,10.9,,0,0,,,1,
183,2017-01-08 14:00:00,26.2,20.7,5.4,20.7,,0,0,,0,0,,,1,
184,2017-01-08 15:00:00,26.2,16.2,9.9,16.2,,0,0,,0,0,,,1,
185,2017-01-08 16:00:00,26.2,4.9,21.3,4.9,,0,0,,0,0,,,1,
186,2017-01-08 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
187,2017-01-08 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
188,2017-01-08 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
189,2017-01-08 20:00:00,20.4,0,20.4,0,,0,0,,0,0,,,1,
190,2017-01-08 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,1,
191,2017-01-08 22:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
192,2017-01-08 23:00:00,6,0,6,0,,0,0,,0,0,,,1,
193,2017-01-09 00:00:00,6.1,0,6.1,0,,0,0,,0,0,,,1,
194,2017-01-09 01:00:00,6.2,0,6.2,0,,0,0,,0,0,,,1,
195,2017-01-09 02:00:00,6.3,0,6.3,0,,0,0,,0,0,,,1,
196,2017-01-09 03:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
197,2017-01-09 04:00:00,6.5,0,1.5,0,,4.9,0,,0,0,,,1,
198,2017-01-09 05:00:00,6.6,0,0,0,,6.6,0,,0,0,,,0.9,
199,2017-01-09 06:00:00,8.9,0,0,0,,8.9,0,,0,0,,,0.8,
200,2017-01-09 07:00:00,10.3,0,0,0,,10.3,0,,0,0,,,0.7,
201,2017-01-09 08:00:00,16.6,9.7,0,9.7,,6.8,0,,0,0,,,0.6,
202,2017-01-09 09:00:00,26.2,23.3,0,23.3,,2.9,0,,0,0,,,0.6,
203,2017-01-09 10:00:00,26.2,33.3,0,26.2,,0,7.1,,0,0,,,0.7,
204,2017-01-09 11:00:00,26.2,38.9,0,26.2,,0,12.7,,0,0,,,0.8,
205,2017-01-09 12:00:00,26.2,40.2,0,26.2,,0,14,,0,0,,,0.9,
206,2017-01-09 13:00:00,26.2,37.5,0,26.2,,0,11.3,,0,0,,,1,
207,2017-01-09 14:00:00,26.2,21.7,4.4,21.7,,0,0,,0,0,,,1,
208,2017-01-09 15:00:00,26.2,19.8,6.4,19.8,,0,0,,0,0,,,1,
209,2017-01-09 16:00:00,26.2,6.4,19.8,6.4,,0,0,,0,0,,,1,
210,2017-01-09 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
211,2017-01-09 18:00:00,22.9,0,20.2,0,,2.8,0,,0,0,,,1,
212,2017-01-09 19:00:00,22.9,0,7.2,0,,15.7,0,,0,0,,,0.8,
213,2017-01-09 20:00:00,20.4,0,4.7,0,,15.7,0,,0,0,,,0.7,
214,2017-01-09 21:00:00,9.3,0,9.3,0,,0,0,,0,0,,,0.7,
215,2017-01-09 22:00:00,5.5,0,5.5,0,,0,0,,0,0,,,0.7,
216,2017-01-09 23:00:00,5.6,0,5.6,0,,0,0,,0,0,,,0.7,
217,2017-01-10 00:00:00,5.8,0,5.8,0,,0,0,,0,0,,,0.7,
218,2017-01-10 01:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.7,
219,2017-01-10 02:00:00,6,0,6,0,,0,0,,0,0,,,0.7,
220,2017-01-10 03:00:00,6,0,6,0,,0,0,,0,0,,,0.7,
221,2017-01-10 04:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.7,
222,2017-01-10 05:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.7,
223,2017-01-10 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,0.7,
224,2017-01-10 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,0.7,
225,2017-01-10 08:00:00,16.6,9.9,0,9.9,,6.7,0,,0,0,,,0.6,
226,2017-01-10 09:00:00,26.2,23.2,0,23.2,,2.9,0,,0,0,,,0.6,
227,2017-01-10 10:00:00,26.2,33.1,0,26.2,,0,6.9,,0,0,,,0.6,
228,2017-01-10 11:00:00,26.2,38.8,0,26.2,,0,12.6,,0,0,,,0.7,
229,2017-01-10 12:00:00,26.2,40.1,0,26.2,,0,13.9,,0,0,,,0.9,
230,2017-01-10 13:00:00,26.2,37.3,0,26.2,,0,11.1,,0,0,,,1,
231,2017-01-10 14:00:00,26.2,30.6,0,26.2,,0,4.4,,0,0,,,1,
232,2017-01-10 15:00:00,26.2,19.9,6.2,19.9,,0,0,,0,0,,,1,
233,2017-01-10 16:00:00,26.2,6.5,19.7,6.5,,0,0,,0,0,,,1,
234,2017-01-10 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
235,2017-01-10 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
236,2017-01-10 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
237,2017-01-10 20:00:00,20.4,0,20.4,0,,0,0,,0,0,,,1,
238,2017-01-10 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,1,
239,2017-01-10 22:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
240,2017-01-10 23:00:00,5.9,0,5.9,0,,0,0,,0,0,,,1,
241,2017-01-11 00:00:00,6.1,0,6.1,0,,0,0,,0,0,,,1,
242,2017-01-11 01:00:00,6.2,0,6.2,0,,0,0,,0,0,,,1,
243,2017-01-11 02:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
244,2017-01-11 03:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
245,2017-01-11 04:00:00,6.5,0,6.5,0,,0,0,,0,0,,,1,
246,2017-01-11 05:00:00,6.4,0,6.4,0,,0,0,,0,0,,,1,
247,2017-01-11 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,1,
248,2017-01-11 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,1,
249,2017-01-11 08:00:00,16.6,6.4,10.2,6.4,,0,0,,0,0,,,1,
250,2017-01-11 09:00:00,26.2,4,20.5,4,,1.7,0,,0,0,,,1,
251,2017-01-11 10:00:00,26.2,20.5,0,20.5,,5.7,0,,0,0,,,0.9,
252,2017-01-11 11:00:00,26.2,20.9,0,20.9,,5.2,0,,0,0,,,0.9,
253,2017-01-11 12:00:00,26.2,40.2,0,26.2,,0,14,,0,0,,,1,
254,2017-01-11 13:00:00,26.2,6.5,19.7,6.5,,0,0,,0,0,,,1,
255,2017-01-11 14:00:00,26.2,1,25.2,1,,0,0,,0,0,,,1,
256,2017-01-11 15:00:00,26.2,0.6,25.6,0.6,,0,0,,0,0,,,1,
257,2017-01-11 16:00:00,26.2,0,26.2,0,,0,0,,0,0,,,1,
258,2017-01-11 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
259,2017-01-11 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
260,2017-01-11 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
261,2017-01-11 20:00:00,20.4,0,20.4,0,,0,0,,0,0,,,1,
262,2017-01-11 21:00:00,9.3,0,9.3,0,,0,0,,0,0,,,1,
263,2017-01-11 22:00:00,5.5,0,5.5,0,,0,0,,0,0,,,1,
264,2017-01-11 23:00:00,5.6,0,5.6,0,,0,0,,0,0,,,1,
265,2017-01-12 00:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
266,2017-01-12 01:00:00,5.8,0,5.8,0,,0,0,,0,0,,,1,
267,2017-01-12 02:00:00,5.9,0,5.9,0,,0,0,,0,0,,,1,
268,2017-01-12 03:00:00,6,0,6,0,,0,0,,0,0,,,1,
269,2017-01-12 04:00:00,6,0,6,0,,0,0,,0,0,,,1,
270,2017-01-12 05:00:00,6,0,6,0,,0,0,,0,0,,,1,
271,2017-01-12 06:00:00,8.9,0,8.9,0,,0,0,,0,0,,,1,
272,2017-01-12 07:00:00,9.7,0,9.7,0,,0,0,,0,0,,,1,
273,2017-01-12 08:00:00,16.6,7.4,9.2,7.4,,0,0,,0,0,,,1,
274,2017-01-12 09:00:00,26.2,17.6,8.5,17.6,,0,0,,0,0,,,1,
275,2017-01-12 10:00:00,26.2,24.8,1.3,24.8,,0,0,,0,0,,,1,
276,2017-01-12 11:00:00,26.2,15.8,10.3,15.8,,0,0,,0,0,,,1,
277,2017-01-12 12:00:00,26.2,16.1,10.1,16.1,,0,0,,0,0,,,1,
278,2017-01-12 13:00:00,26.2,9.3,16.9,9.3,,0,0,,0,0,,,1,
279,2017-01-12 14:00:00,26.2,17.7,8.4,17.7,,0,0,,0,0,,,1,
280,2017-01-12 15:00:00,26.2,3.8,22.4,3.8,,0,0,,0,0,,,1,
281,2017-01-12 16:00:00,26.2,3.9,22.2,3.9,,0,0,,0,0,,,1,
282,2017-01-12 17:00:00,30,0,30,0,,0,0,,0,0,,,1,
283,2017-01-12 18:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
284,2017-01-12 19:00:00,22.9,0,22.9,0,,0,0,,0,0,,,1,
285,2017-01-12 20:00:00,20.4,0,14.6,0,,5.8,0,,0,0,,,0.9,
286,2017-01-12 21:00:00,9.4,0,9.4,0,,0,0,,0,0,,,0.9,
287,2017-01-12 22:00:00,5.6,0,5.6,0,,0,0,,0,0,,,0.9,
288,2017-01-12 23:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
289,2017-01-13 00:00:00,5.8,0,5.8,0,,0,0,,0,0,,,0.9,
290,2017-01-13 01:00:00,6,0,6,0,,0,0,,0,0,,,0.9,
291,2017-01-13 02:00:00,6,0,6,0,,0,0,,0,0,,,0.9,
292,2017-01-13 03:00:00,6.1,0,6.1,0,,0,0,,0,0,,,0.9,
293,2017-01-13 04:00:00,6,0,6,0,,0,0,,0,0,,,0.9,
294,2017-01-13 05:00:00,6.2,0,6.2,0,,0,0,,0,0,,,0.9,
295,2017-01-13 06:00:00,8.8,0,8.8,0,,0,0,,0,0,,,0.9,
296,2017-01-13 07:00:00,7.2,0,7.2,0,,0,0,,0,0,,,0.9,
297,2017-01-13 08:00:00,11.6,9.4,0,9.4,,2.1,0,,0,0,,,0.9,
298,2017-01-13 09:00:00,19.1,22.9,0,19.1,,0,3.8,,0,0,,,1,
299,2017-01-13 10:00:00,26.2,28.1,0,26.2,,0,1.9,,0,0,,,1,
300,2017-01-13 11:00:00,26.2,29.4,0,26.2,,0,3.2,,0,0,,,1,
301,2017-01-13 12:00:00,26.2,9.9,16.2,9.9,,0,0,,0,0,,,1,
302,2017-01-13 13:00:00,26.2,21.2,5,21.2,,0,0,,0,0,,,1,
303,2017-01-13 14:00:00,26.2,6.1,20,6.1,,0,0,,0,0,,,1,
304,2017-01-13 15:00:00,26.2,2.2,24,2.2,,0,0,,0,0,,,1,
305,2017-01-13 16:00:00,26.2,1.3,24.9,1.3,,0,0,,0,0,,,1,
306,2017-01-13 17:00:00,29.3,0,29.3,0,,0,0,,0,0,,,1,
307,2017-01-13 18:00:00,20.4,0,20.4,0,,0,0,,0,0,,,1,
308,2017-01-13 19:00:00,15.4,0,15.4,0,,0,0,,0,0,,,1,
309,2017-01-13 20:00:00,15.4,0,4.5,0,,10.9,0,,0,0,,,0.9,
310,2017-01-13 21:00:00,10.3,0,10.3,0,,0,0,,0,0,,,0.9,
311,2017-01-13 22:00:00,5.4,0,5.4,0,,0,0,,0,0,,,0.9,
312,2017-01-13 23:00:00,5.7,0,5.7,0,,0,0,,0,0,,,0.9,
313,2017-01-14 00:00:00,5.9,0,5.9,0,,0,0,,0,0,,,0.9,
